,abv,ibu,name,style,brewery_id,ounces
1947,0.053,45.0,Jack the Sipper,Extra Special / Strong Bitter (ESB),133,12.0
1948,0.058,60.0,Devil's Harvest Extra Pale Ale,American Pale Ale (APA),133,12.0
1949,0.05,20.0,Suzy B Dirty Blonde Ale,American Blonde Ale,133,12.0
1950,0.08,80.0,Mississippi Fire Ant,American Amber / Red Ale,133,16.0
1951,0.058,40.0,Hipster Breakfast,Oatmeal Stout,133,16.0
1952,0.05,20.0,Suzy B Dirty Blonde Ale,American Blonde Ale,133,16.0
1953,0.058,60.0,Devil's Harvest Extra Pale Ale,American Pale Ale (APA),133,16.0
1954,0.065,45.0,Pine Belt Pale Ale,American Pale Ale (APA),118,12.0
1956,0.069,23.0,Le Mort Vivant,Bière de Garde,118,12.0
1957,0.085,110.0,Red Cockaded Ale,American Double / Imperial IPA,118,12.0
1958,0.092,100.0,Valkyrie Double IPA,American Double / Imperial IPA,118,12.0
1959,0.085,110.0,Red Cockaded Ale (2013),American Double / Imperial IPA,118,12.0
1960,0.07200000000000001,40.0,Old Potentate,Old Ale,118,12.0
1961,0.05,20.0,Bombshell Blonde,American Blonde Ale,118,16.0
1962,0.099,100.0,PRO-AM (2012) (2012),American Double / Imperial IPA,118,12.0
1964,0.069,23.0,Le Mort Vivant (2011),Bière de Garde,118,12.0
1965,0.083,50.0,Buried Hatchet Stout,Foreign / Export Stout,118,12.0
1966,0.065,45.0,Pine Belt Pale Ale,American Pale Ale (APA),118,16.0
1967,0.05,20.0,Bombshell Blonde,American Blonde Ale,118,12.0
1968,0.047,35.0,Baby Daddy Session IPA,American IPA,78,12.0
1982,0.05,22.0,Special Amber,Vienna Lager,498,12.0
1983,0.05,22.0,Special Amber,Vienna Lager,498,12.0
1986,0.042,20.0,Starr Pils,German Pilsener,383,12.0
1987,0.065,52.0,Northern Lights India Pale Ale,American IPA,383,16.0
1988,0.048,12.0,Festie,Märzen / Oktoberfest,383,12.0
1989,0.065,52.0,Northern Lights India Pale Ale,American IPA,383,12.0
1990,0.065,65.0,Third Eye Enlightened Pale Ale,American Pale Ale (APA),119,12.0
1991,0.049,17.0,Colorado Kölsch,Kölsch,119,12.0
1992,0.057,25.0,Steam Engine Lager,American Amber / Red Lager,119,12.0
1993,0.065,65.0,Third Eye Pale Ale,American IPA,119,12.0
1994,0.047,9.0,Point Special (Current),American Adjunct Lager,131,12.0
1995,0.047,9.0,Point Special,American Adjunct Lager,131,12.0
1996,0.054000000000000006,33.0,Point Cascade Pale Ale (2013),American Pale Ale (APA),131,12.0
1997,0.047,9.0,Point Special,American Adjunct Lager,131,12.0
1998,0.052000000000000005,9.0,Onyx Black Ale,American Black Ale,131,12.0
1999,0.063,64.0,Beyond The Pale IPA,American IPA,131,12.0
2000,0.047,9.0,Point Special (2013),American Adjunct Lager,131,12.0
2001,0.047,9.0,Point Special (2012),American Adjunct Lager,131,12.0
2002,0.047,9.0,Point Special Lager,American Adjunct Lager,131,16.0
2004,0.057,15.0,Point Oktoberfest,Märzen / Oktoberfest,131,16.0
2005,0.052000000000000005,7.0,Point Nude Beach Summer Wheat,American Pale Wheat Ale,131,16.0
2006,0.05,7.0,Point Nude Beach Summer Wheat,American Pale Wheat Ale,131,12.0
2007,0.05,7.0,Point Nude Beach Summer Wheat (2011),American Pale Wheat Ale,131,12.0
2009,0.049,13.0,Three Kings Ale,Kölsch,131,12.0
2010,0.057,15.0,Point Oktoberfest,Märzen / Oktoberfest,131,12.0
2011,0.054000000000000006,32.0,2012 Black Ale,American Brown Ale,131,12.0
2012,0.05,7.0,Point Nude Beach Summer Wheat (2010),American Pale Wheat Ale,131,12.0
2013,0.054000000000000006,33.0,Point Cascade Pale Ale,American Pale Ale (APA),131,12.0
2014,0.047,14.0,Point Amber Classic,American Amber / Red Lager,131,12.0
2015,0.047,9.0,Point Special Lager,American Adjunct Lager,131,12.0
2016,0.051,31.0,Wisco Disco,American Amber / Red Ale,486,16.0
2021,0.051,25.0,Sand Island Lighthouse,Kölsch,412,12.0
2022,0.05,30.0,Lily Flagg Milk Stout,Milk / Sweet Stout,412,12.0
2023,0.07200000000000001,70.0,Monkeynaut IPA,American IPA,412,12.0
2025,0.041,8.0,American Lager,American Adjunct Lager,129,12.0
2026,0.041,8.0,American Amber,American Amber / Red Lager,129,12.0
2027,0.032,13.0,American Light,Light Lager,129,12.0
2028,0.053,49.0,Extra Pale Ale,American Pale Ale (APA),138,12.0
2029,0.053,40.0,Make It So,Extra Special / Strong Bitter (ESB),58,12.0
2030,0.047,55.0,Hopvale Organic Ale,American Pale Ale (APA),58,16.0
2031,0.083,100.0,Unchained #18 Hop Silo,American Double / Imperial IPA,58,16.0
2032,0.052000000000000005,29.0,Tip Off,Altbier,25,16.0
2034,0.054000000000000006,23.0,Cowbell,American Porter,25,16.0
2035,0.058,20.0,Hop Up Offa That Brett (2014),Belgian Pale Ale,25,16.0
2036,0.083,23.0,PV Muckle (2013),Scotch Ale / Wee Heavy,25,16.0
2037,0.099,36.0,Bourbon Barrel Batch 666: Sympathy for the Devil,Belgian Dark Ale,25,16.0
2038,0.09,30.0,Whip Fight,Scotch Ale / Wee Heavy,25,16.0
2039,0.053,23.0,Port Barrel Wee Mac ,Scotch Ale / Wee Heavy,25,16.0
2040,0.064,75.0,Fistful Of Hops Red,American IPA,25,16.0
2041,0.063,75.0,Fistful of Hops Orange,American IPA,25,16.0
2042,0.064,75.0,Fistful Of Hops Blue,American IPA,25,16.0
2043,0.064,75.0,Fistful of Hops Green,American IPA,25,16.0
2045,0.09,30.0,Wee Muckle,Scotch Ale / Wee Heavy,25,16.0
2046,0.065,55.0,Royal Brat,Extra Special / Strong Bitter (ESB),25,16.0
