,abv,ibu,name,style,brewery_id,ounces
962,0.07,22,Barrel Aged Farmer,American Brown Ale,365,16
965,0.048,20,Dos Pistolas,Vienna Lager,365,12
966,0.05,30,Owney Irish Style Red Ale,Irish Red Ale,365,16
968,0.055,10,Widespread Wit,Witbier,365,16
969,0.054,30,Roller Dam Red Ale,Irish Red Ale,365,16
970,0.053,48,483 Pale Ale,American Pale Ale (APA),365,16
971,0.09,99,Hop A Potamus Double Dark Rye Pale Ale,Rye Beer,365,16
972,0.07,22,Farmer Brown Ale,American Brown Ale,365,16
973,0.07,70,Big Cock IPA,American IPA,365,16
974,0.059,25,Oktoberfest,MArzen / Oktoberfest,365,16
975,0.048,25,40th Annual Bix Street Fest Copper Ale (Current),American Amber / Red Ale,365,16
976,0.06,36,Redband Stout,American Stout,365,16
977,0.053,48,483 Pale Ale (2010),American Pale Ale (APA),365,16
978,0.054,30,Roller Dam Red Ale (2010),Irish Red Ale,365,16
979,0.05,30,Pablo Beach Pale Ale,American Pale Ale (APA),466,12
980,0.057,44,Wild Trail Pale Ale,American Pale Ale (APA),156,12
981,0.067,71,Mothman Black IPA,American Black Ale,156,12
983,0.085,69,Captain's Daughter,American Double / Imperial IPA,86,12
985,0.06,54,Flying Jenny Extra Pale Ale,American Pale Ale (APA),379,12
986,0.04,20,Hazy Day Belgian-Style Wit,Witbier,379,16
988,0.06,34,Leaning Chimney Smoked Porter,American Porter,379,16
989,0.06,54,Flying Jenny Extra Pale Ale (2012),American Pale Ale (APA),379,12
990,0.049,22,Flagship Ale,Cream Ale,379,12
991,0.045,6,Mr. Blue Sky,American Pale Wheat Ale,124,16
993,0.05,25,Screamin' Pumpkin,Pumpkin Ale,124,16
994,0.05,35,Grand Trunk Bohemian Pils,Czech Pilsener,124,16
995,0.065,25,El Rojo,American Amber / Red Ale,124,16
997,0.05,35,Grind Line,American Pale Ale (APA),124,16
998,0.04,55,Norm's Gateway IPA,American IPA,124,12
1000,0.063,43,Little Red Cap,Altbier,144,12
1001,0.069,67,Supergoose IPA,American IPA,290,12
1011,0.07,40,Pursuit,American IPA,248,12
1012,0.052,18,Half Full Bright Ale,American Blonde Ale,248,12
1013,0.046,17,Orange Wheat,Fruit / Vegetable Beer,476,12
1014,0.043,14,Hangar 24 Helles Lager,Munich Helles Lager,476,12
1015,0.075,70,The Great Return,American IPA,343,16
1016,0.044,18,Hardywood Cream Ale,Cream Ale,343,12
1017,0.056,55,Capital Trail Pale Ale,American Pale Ale (APA),343,12
1018,0.052,15,UFO Gingerland,Herbed / Spiced Beer,234,12
1019,0.062,45,The Long Thaw White IPA,American White IPA,234,12
1021,0.05,28,Harpoon Summer Beer,Kolsch,234,12
1022,0.059,42,Harpoon IPA,American IPA,234,12
1023,0.059,20,UFO Pumpkin,Pumpkin Ale,234,12
1024,0.055,30,Harpoon Octoberfest,MArzen / Oktoberfest,234,12
1025,0.059,42,Harpoon IPA (2012),American IPA,234,12
1026,0.05,28,Harpoon Summer Beer (2012),Kolsch,234,12
1027,0.048,10,UFO White,American Pale Wheat Ale,234,12
1028,0.05,28,Harpoon Summer Beer (2010),Kolsch,234,12
1029,0.059,42,Harpoon IPA (2010),American IPA,234,12
1037,0.076,65,Groupe G,Belgian IPA,280,16
1038,0.062,40,Pt. Bonita Rustic Lager,American Pale Lager,280,16
1039,0.088,77,Hill 88 Double IPA,American Double / Imperial IPA,280,16
1040,0.072,45,Loose Cannon,American IPA,479,12
1041,0.06,30,AARGHtoberfest!,MArzen / Oktoberfest,479,12
1043,0.063,30,Grazias,Cream Ale,423,16
1044,0.08,86,Habitus IPA,American IPA,423,16
1045,0.099,85,Ex Umbris Rye Imperial Stout,American Double / Imperial Stout,423,16
1046,0.063,21,The Golden One,American Pilsner,168,12
1047,0.07,68,The Power of Zeus,American Pale Ale (APA),168,12
1048,0.044,22,Tonganoxie Honey Wheat,American Pale Wheat Ale,500,12
1051,0.045,32,The 12th Cana,American Pale Ale (APA),362,16
1052,0.055,34,Hilliard's Pils,Czech Pilsener,362,16
1053,0.049,20,Hilliard's Blonde,American Blonde Ale,362,16
1054,0.055,60,Hilliard's Amber Ale,American Amber / Red Ale,362,16
1055,0.066,30,Hilliard's Saison,Saison / Farmhouse Ale,362,16
1057,0.042,25,Provision,Saison / Farmhouse Ale,297,12
1058,0.047,28,One Nut Brown,American Brown Ale,297,12
1059,0.058,45,Hop Farm IPA,American IPA,297,12
1060,0.049,20,Double D Blonde,American Blonde Ale,198,12
1061,0.078,60,Festeroo Winter Ale,American Strong Ale,198,12
1062,0.063,70,Proxima IPA,American IPA,198,12
1063,0.049,20,Double D Blonde (2013),American Blonde Ale,198,12
1064,0.048,13,541 American Lager,American Pale Lager,198,12
1065,0.065,90,Alphadelic IPA,American IPA,198,12
1066,0.065,90,Alphadelic IPA (2011),American IPA,198,12
1067,0.049,20,Double D Blonde (2011),American Blonde Ale,198,12
1070,0.051,40,Alteration,Altbier,395,12
1071,0.06,50,Pale Dog,American Pale Ale (APA),395,12
1074,0.027,21,Totally Radler,Radler,80,16
1075,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1076,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1077,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1078,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1079,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1080,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1081,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1082,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1083,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1084,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1085,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
1086,0.039,20,Nonstop Hef Hop,American Pale Wheat Ale,80,16
